Id,Price
4567,158316.42574092196
5925,116060.87015436678
960,147020.21368759722
3848,127445.254525759
746,202039.7369330025
868,351016.36295755306
672,116867.16626041227
2471,214973.85730295235
4510,118921.61565993262
8354,246485.27395970354
6393,172425.17013607253
13270,236505.6013913313
5250,335404.37909817963
16751,182843.63569959815
11404,133234.25719340358
10588,353622.52346557216
14925,202466.29783339516
6791,210274.2933676612
16097,195196.3721618699
16428,370268.50700507226
6945,324743.29876597907
3190,186118.8545608781
15709,427749.9589334518
13155,152272.34203730262
7675,202408.19132215978
14686,229789.48724876015
609,141793.43192565185
11155,162162.6158012246
10869,191457.58014163608
15742,189356.35766442737
9245,196605.48487863984
3340,157311.71802376246
2359,294693.74249209627
8070,217385.60237309922
13707,126678.16936236744
16079,270151.0831500775
15937,289659.12789223046
14090,189086.7610963464
9008,217568.17601379918
16384,168123.60804573412
11657,233255.54605977048
13151,164308.1172454962
8990,155925.7728054949
11857,181063.30136838334
1565,154349.93080715314
8174,93855.88150076345
9247,241529.30262075405
10478,223689.25593651526
15509,140193.23396538
8306,239814.03714057265
6642,185623.02195509995
7472,222157.10286390324
15989,140116.48806932446
13682,140601.29717095126
163,200183.52666287546
7076,199588.79334003228
7478,350227.6796561118
3029,186658.7710399867
1814,135399.10560263725
10057,132385.90163583402
15100,189895.44758983183
12694,231693.16471719887
6291,193843.7220163849
12603,154789.05536614425
3218,208765.74758129753
13456,134029.36025206523
10170,227515.8284441112
4530,173935.72346961885
13329,165786.93938706635
4820,151912.49216797427
10896,174120.2403275866
13416,124134.6278120746
2701,208483.59525277434
11265,333421.12580356735
9189,248294.65484568072
1858,185438.22795858502
14536,244609.71233543326
6199,307041.3239867307
14730,162501.11681522452
7510,259062.6227101296
15505,161950.60869798277
7446,180611.35617271814
14016,153197.86710954976
14113,105382.22863008501
8721,294000.0424750905
6193,302306.41528321634
5717,174689.09052034837
5427,307376.17641944735
9520,472921.8683911251
6869,98974.21723595452
1658,160776.06086904698
6639,235704.3849312516
6283,199487.176494712
6257,133460.45456658045
15235,179216.00407214268
902,271604.7630555128
8932,183765.78693653352
16469,349284.5265666648
2825,276824.41279743396
6450,403938.15806543146
11366,178275.87345262888
3801,380489.3533936111
11385,201342.26310459754
1079,191239.89194754924
3202,260767.79930778776
676,220644.71029622955
6185,289281.2178490673
7730,155095.4232765276
2573,177972.66217992257
10978,201472.0828808416
10962,250105.74699140943
8870,199215.07173703023
8496,178997.55124017192
5517,165453.79316838196
927,173462.77088418906
13675,199939.472225144
1499,226141.9379004382
15536,329286.74417452153
8602,350449.710946403
12137,407391.8173197274
9865,245062.77103911893
16353,304922.1580282494
15908,203874.47952371696
3944,176868.32741596753
10359,201249.29949116573
15158,232736.7998235959
3259,235273.56902006728
7220,315263.76770463947
13843,208548.21324937887
16736,189002.18194248626
702,268507.0473302903
16401,149620.69930592543
12134,183518.43612922175
6918,237487.0569671751
11792,130215.64755575794
3798,122937.82495230554
10395,140442.58540440176
11099,129808.30839452577
7090,196111.012943036
11260,193898.20761675053
9647,197011.72770830226
2903,415151.0403211395
2071,183241.88919988525
8604,184296.35705082025
9346,209361.4760075266
3945,202198.1789896063
3420,130761.32002412835
10842,128143.35543932518
725,160710.36487529028
13931,193205.24077492164
16330,224867.54622759388
9066,435242.19811292144
3326,296254.0744021705
1556,279897.0554460547
6579,102589.9658496575
13877,137832.11357623563
9857,345080.9527197471
7302,282971.4919898417
5684,192114.3379510877
6513,241360.08853691636
11342,116948.41728621288
16561,222746.80202984763
6885,174190.56666521187
9308,172411.50498917882
2559,195415.0283965614
6648,173291.54293090894
15260,156699.24744406962
5113,193236.80514159414
16492,195975.78338050694
12034,297765.890092691
7248,214944.7423073415
2171,207140.23562025992
10594,181379.23190654194
13241,206941.81306481408
7032,139406.87327238388
4884,156464.8874657493
903,217124.72558790506
162,182035.19827396062
6566,263798.58517758886
8249,152554.93364044948
13106,153592.15922893622
256,127692.85466500414
7976,169372.83868043468
8575,164586.144219237
7591,280333.1362802312
3204,235829.36066018287
15804,180549.35128459634
1525,333453.30277158174
9038,201782.21144495392
13628,199295.45383190308
10016,197009.29260643563
10208,184126.613517658
2008,192839.47839236213
13029,196926.24641975682
5099,131837.7864879558
9923,301392.5666638184
9461,120309.41808224616
11086,184621.60145124982
15057,281112.47572401323
10689,170759.21217258528
2053,210520.22014118131
16630,177678.69777233072
4985,165795.3722431863
13881,248783.4250358103
13225,202595.01168766015
5779,69739.67579887579
10262,170379.31452080593
10762,213663.8743570211
9513,189383.88035605356
11128,165067.64106110675
2074,305568.24450421473
933,194357.92178161198
2780,184038.77562325154
6594,121975.4761159497
15394,266099.115420751
14863,134872.9175426308
6698,199541.77809776692
1611,256719.00542837178
174,181967.6937390619
5160,216459.42793560115
3295,321457.6476823474
4559,403408.6553234738
8254,175821.00056794664
10228,100663.0963486792
13924,135982.65402205466
15341,241771.35864258304
4353,168192.71951903478
4334,73638.4346924303
1872,154970.39161131578
7823,186186.63119993455
310,146115.94242538864
3704,247848.851726658
11615,287987.19966373465
6605,209618.48071912464
3381,175066.67921880077
2143,141031.22015958902
3191,249480.63961658638
13980,141329.72147537672
15613,174430.67339037574
10943,271969.36348665925
9654,188675.68274019795
16053,502537.5585130047
14931,234953.10943770647
8299,213117.6512355111
2147,174202.3856047087
11567,301157.5573857335
5905,139319.6347306963
11160,103449.34967943709
8275,151071.81923638872
16398,243815.32076784273
11229,167268.06067150144
10309,160651.79372977186
7340,263023.13766913523
7653,166094.14797742036
272,203408.50102918435
9831,218996.1512191397
5016,140386.26196076875
5968,67036.42084041622
796,251662.46132568672
12123,122014.75940488798
16629,184957.53387218743
2637,166859.07161597337
